ID,CREDITSTATUS,GENDER,OWNCAR,OWNPROPERTY,CHILDRENCOUNT,INCOMETOTAL,INCOMETYPE,EDUCATIONLEVEL,MARITALSTATUS,HOUSINGTYPE,MOBILE,EMAIL,OCCUPATION,FAMSIZE
5008821,X,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5008824,0,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
5008827,C,M,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,1,0,,2
5008834,C,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,,2
5008839,C,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,3
5008840,C,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,3
5008842,0,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,3
5008843,C,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,1,0,Managers,3
5008846,0,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008850,0,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008852,0,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
5008855,C,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4
5008858,C,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4
5008861,0,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4
5008872,0,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Security staff,2
5008873,C,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,1,Managers,4
5008876,C,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,1,Managers,4
5008881,C,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,1,Managers,4
5008891,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008912,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008919,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008922,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008924,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008925,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008926,0,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008928,1,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008930,0,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
5008931,C,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,Laborers,1
